Team,Stadium
Arsenal,Emirates Stadium
Arsenal,Meadow Park
Aston Villa,Poundland Bescot Stadium
Aston Villa,Villa Park
Brighton & Hove Albion,Broadfield Stadium
Brighton & Hove Albion,Falmer Stadium
Bristol City,Ashton Gate Stadium
Chelsea,Kingsmeadow
Chelsea,Stamford Bridge
Crystal Palace,VBS Community Stadium
Crystal Palace,Selhurst Park
Everton,Walton Hall Park
Everton,Goodison Park
Leicester City,King Power Stadium
Liverpool,Prenton Park
Liverpool,Anfield
Liverpool,St Helens Stadium
Manchester City,Etihad Stadium
Manchester City,Joie Stadium
Manchester United,Old Trafford
Manchester United,Leigh Sports Village Stadium
Tottenham Hotspur,Tottenham Hotspur Stadium
Tottenham Hotspur,Brisbane Road
West Ham United,Chigwell Construction Stadium
