Home Team,Location
Arsenal,Emirates Stadium
Arsenal,Meadow Park
Aston Villa,Villa Park
Aston Villa,Poundland Bescot Stadium
Brighton & Hove Albion,Broadfield Stadium
Brighton & Hove Albion,Falmer Stadium
Bristol City,Ashton Gate Stadium
Chelsea,Kingsmeadow
Chelsea,Stamford Bridge
Crystal Palace,Selhurst Park
Crystal Palace,VBS Community Stadium
Everton,Goodison Park
Everton,Walton Hall Park
Leicester City,King Power Stadium
Liverpool,Prenton Park
Liverpool,Anfield
Liverpool,St Helens Stadium
Manchester City,Etihad Stadium
Manchester City,Joie Stadium
Manchester United,Leigh Sports Village Stadium
Manchester United,Old Trafford
Tottenham Hotspur,Brisbane Road
Tottenham Hotspur,Tottenham Hotspur Stadium
West Ham United,Chigwell Construction Stadium
